,open,high,low,close,vol
2010-01-04,37.22,37.61,37.04,37.505,38864
2010-01-05,37.4,37.52,36.895,37.295,21535
2010-01-06,37.11,37.28,36.65,37.17,17436
2010-01-07,36.85,36.85,36.355,36.83,36455
2010-01-08,36.95,37.115,36.295,36.84,32034
2010-01-11,37.0,37.655,37.0,37.155,40996
2010-01-12,37.2,37.38,35.865,35.975,54660
2010-01-13,35.97,36.31,35.65,36.275,27454
2010-01-14,36.275,37.15,36.275,37.0,21488
2010-01-15,36.95,37.2,36.42,36.52,45593
2010-01-18,36.24,37.24,36.24,36.76,26635
2010-01-19,36.645,36.85,35.745,36.81,47060
2010-01-20,36.45,36.47,35.39,35.72,41054
2010-01-21,35.72,36.11,34.38,34.585,121235
2010-01-22,34.3,34.55,33.295,33.75,92072
2010-01-25,33.585,34.005,33.23,33.425,41172
2010-01-26,33.29,34.11,32.705,34.11,82595
2010-01-27,33.5,33.5,32.67,32.82,66692
2010-01-28,33.055,33.755,32.2,32.65,46869
2010-01-29,33.01,33.96,32.8,33.425,37102
2010-02-01,33.1,33.665,33.0,33.62,19396
2010-02-02,33.5,33.88,32.95,33.83,35489
2010-02-03,33.95,34.92,33.95,34.56,31352
2010-02-04,34.6,34.6,32.95,33.035,28679
2010-02-05,33.155,33.155,32.045,32.23,69251
2010-02-08,32.95,33.52,32.65,33.14,79855
2010-02-09,33.5,33.8,32.995,33.705,43646
2010-02-10,33.5,34.085,33.37,33.69,21800
2010-02-11,33.86,33.86,32.285,33.145,26309
2010-02-12,32.95,33.13,31.75,32.51,88094
2010-02-15,32.4,33.06,31.9,32.125,35396
2010-02-16,32.35,32.69,31.83,32.605,52070
2010-02-17,33.04,33.33,32.96,33.01,40424
2010-02-18,32.95,33.055,30.01,31.39,305319
2010-02-19,31.25,32.415,30.92,32.15,191301
2010-02-22,32.61,32.61,31.345,31.545,80218
2010-02-23,31.65,31.855,31.025,31.18,47821
2010-02-24,31.45,31.45,30.45,31.15,56208
2010-02-25,30.8,31.205,30.115,30.55,43183
2010-02-26,30.65,31.045,30.285,30.735,38497
2010-03-01,31.13,31.505,30.79,31.3,41669
2010-03-02,31.39,32.015,31.35,31.7,46237
2010-03-03,31.545,32.205,31.405,31.91,29939
2010-03-04,31.925,32.24,31.58,31.98,27671
2010-03-05,31.98,33.07,31.98,32.91,38893
2010-03-08,32.94,33.19,32.73,33.095,41883
2010-03-09,33.01,33.01,32.31,32.9,32705
2010-03-10,32.8,33.25,32.635,32.96,28668
2010-03-11,32.8,33.55,32.8,33.15,33951
2010-03-12,33.15,33.67,33.04,33.67,34215
2010-03-15,33.425,33.8,33.32,33.47,52646
2010-03-16,33.305,34.34,33.305,34.23,40548
2010-03-17,34.33,34.565,33.98,34.34,46987
2010-03-18,34.2,34.76,34.2,34.62,38875
2010-03-19,34.6,34.89,34.27,34.545,32475
2010-03-22,34.15,34.525,33.94,34.525,26612
2010-03-23,34.45,34.685,34.125,34.505,23177
2010-03-24,34.41,34.62,33.785,34.405,40136
2010-03-25,34.435,35.17,34.435,34.79,50094
2010-03-26,34.66,35.315,34.66,34.89,37260
2010-03-29,35.05,35.5,34.87,35.005,33974
2010-03-30,35.25,35.25,34.355,34.575,30229
2010-03-31,34.75,35.0,34.485,34.925,26750
2010-04-01,35.04,35.47,35.04,35.2,56979
2010-04-06,35.52,35.83,35.265,35.485,33528
2010-04-07,35.86,35.86,35.29,35.4,77257
2010-04-08,35.175,35.35,34.785,35.33,39979
2010-04-09,35.48,35.61,35.16,35.495,29230
2010-04-12,35.61,35.7,35.17,35.48,47144
2010-04-13,35.3,36.02,34.99,35.8,47119
2010-04-14,36.25,36.75,36.0,36.725,50745
2010-04-15,36.775,36.98,36.23,36.95,101886
2010-04-16,36.79,37.375,36.35,36.475,68654
2010-04-19,36.005,36.72,36.005,36.26,48610
2010-04-20,38.7,39.22,38.5,38.96,196511
2010-04-21,39.04,39.25,38.295,38.72,77530
2010-04-22,38.33,38.935,37.755,38.315,59748
2010-04-23,38.185,39.065,37.885,38.87,26413
2010-04-26,39.22,39.73,38.75,39.66,76822
2010-04-27,39.305,39.835,37.81,38.155,95458
2010-04-28,37.9,38.15,37.0,37.635,80797
2010-04-29,37.695,38.99,37.695,38.92,37801
2010-04-30,38.8,39.295,38.46,38.605,40180
2010-05-03,38.2,39.0,38.11,39.0,17199
2010-05-04,38.99,38.99,37.01,37.7,43563
2010-05-05,37.415,37.565,36.65,37.215,45225
2010-05-06,36.8,37.705,36.675,36.675,56610
2010-05-07,35.8,36.925,35.5,35.81,73445
2010-05-10,36.7,38.0,36.645,37.76,70841
2010-05-11,37.4,38.95,37.3,38.94,58482
2010-05-12,38.205,40.145,38.08,39.915,144759
